Ticker,ANNX,ANNX,ANNX,ANNX,ANNX,ANNA,ANNA,ANNA,ANNA,ANNA
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,
2025-05-19,1.9500000476837158,2.119999885559082,1.899999976158142,2.0899999141693115,1655600,10.0,10.359999656677246,10.0,10.020000457763672,8900
2025-05-20,2.0999999046325684,2.25,2.0899999141693115,2.0999999046325684,1454100,9.8100004196167,10.350000381469727,9.8100004196167,10.050000190734863,2200
2025-05-21,2.059999942779541,2.109999895095825,1.9500000476837158,1.9700000286102295,1412400,9.850000381469727,10.279999732971191,9.850000381469727,10.210000038146973,7500
2025-05-22,1.9700000286102295,2.0999999046325684,1.9500000476837158,2.059999942779541,841400,10.010000228881836,10.930000305175781,10.0,10.460000038146973,9600
2025-05-23,2.0,2.119999885559082,1.9950000047683716,2.109999895095825,952000,10.149999618530273,10.390000343322754,10.0,10.130000114440918,12000
2025-05-27,2.1500000953674316,2.1500000953674316,1.9550000429153442,1.9700000286102295,943400,10.119999885559082,10.619999885559082,10.119999885559082,10.130000114440918,11100
2025-05-28,1.9600000381469727,2.0799999237060547,1.9199999570846558,2.0299999713897705,884800,10.119999885559082,11.0,9.010000228881836,9.010000228881836,17900
2025-05-29,2.049999952316284,2.2100000381469727,2.009999990463257,2.180000066757202,827500,8.800000190734863,9.880000114440918,8.25,9.039999961853027,9800
2025-05-30,2.1500000953674316,2.1600000858306885,2.0199999809265137,2.0399999618530273,3900700,8.949999809265137,11.010000228881836,8.949999809265137,9.359999656677246,7600
2025-06-02,2.069999933242798,2.2300000190734863,2.009999990463257,2.119999885559082,1386900,9.399999618530273,9.72700023651123,9.399999618530273,9.699999809265137,2400
2025-06-03,2.119999885559082,2.359999895095825,2.0950000286102295,2.299999952316284,1139400,9.710000038146973,9.720000267028809,9.460000038146973,9.460000038146973,3500
2025-06-04,2.309999942779541,2.450000047683716,2.259999990463257,2.430000066757202,1199900,9.579999923706055,9.729999542236328,9.300000190734863,9.449999809265137,2500
2025-06-05,2.430000066757202,2.6449999809265137,2.2899999618530273,2.549999952316284,3241700,9.385000228881836,9.385000228881836,9.114999771118164,9.114999771118164,3000
2025-06-06,2.5999999046325684,2.819999933242798,2.5850000381469727,2.5999999046325684,2280800,9.1899995803833,9.319999694824219,9.09000015258789,9.260000228881836,1800
2025-06-09,2.640000104904175,2.6559998989105225,2.490000009536743,2.5899999141693115,925700,9.0600004196167,9.970000267028809,8.84000015258789,8.84000015258789,4900
2025-06-10,2.609999895095825,2.734999895095825,2.569999933242798,2.640000104904175,763800,8.760000228881836,9.241999626159668,8.699999809265137,8.760000228881836,1700
2025-06-11,2.6600000858306885,2.6700000762939453,2.509999990463257,2.5199999809265137,724500,8.90999984741211,9.069999694824219,8.75,8.8100004196167,2000
2025-06-12,2.490000009536743,2.809999942779541,2.4100000858306885,2.7100000381469727,1854600,9.420000076293945,9.5,8.789999961853027,8.789999961853027,8800
2025-06-13,2.640000104904175,2.680000066757202,2.4600000381469727,2.490000009536743,1053800,10.210000038146973,10.399999618530273,8.880000114440918,8.880000114440918,5600
2025-06-16,2.5,2.5250000953674316,2.4000000953674316,2.440000057220459,670100,8.739999771118164,9.482999801635742,7.824999809265137,8.010000228881836,7000
