Ticker,AAPL,AAPL,AAPL,AAPL,AAPL,MSFT,MSFT,MSFT,MSFT,MSFT
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,
2025-05-19,207.91000366210938,209.47999572753906,204.25999450683594,208.77999877929688,46140500,450.8800048828125,459.5899963378906,450.79998779296875,458.8699951171875,21336500
2025-05-20,207.6699981689453,208.47000122070312,205.02999877929688,206.86000061035156,42496600,455.5899963378906,458.3399963378906,454.32000732421875,458.1700134277344,15441800
2025-05-21,205.1699981689453,207.0399932861328,200.7100067138672,202.08999633789062,59211800,454.57000732421875,457.7799987792969,451.80999755859375,452.57000732421875,19216900
2025-05-22,200.7100067138672,202.75,199.6999969482422,201.36000061035156,46742400,454.95001220703125,460.25,453.8999938964844,454.8599853515625,18025600
2025-05-23,193.6699981689453,197.6999969482422,193.4600067138672,195.27000427246094,78432900,449.9800109863281,453.69000244140625,448.9100036621094,450.17999267578125,16883500
2025-05-27,198.3000030517578,200.74000549316406,197.42999267578125,200.2100067138672,56288500,456.4800109863281,460.95001220703125,456.1199951171875,460.69000244140625,20974300
2025-05-28,200.58999633789062,202.72999572753906,199.89999389648438,200.4199981689453,45339700,461.2200012207031,462.5199890136719,456.92999267578125,457.3599853515625,17086300
2025-05-29,203.5800018310547,203.80999755859375,198.50999450683594,199.9499969482422,51396800,461.54998779296875,461.7200012207031,455.30999755859375,458.67999267578125,13974800
2025-05-30,199.3699951171875,201.9600067138672,196.77999877929688,200.85000610351562,70819900,459.7200012207031,461.67999267578125,455.5400085449219,460.3599853515625,34770500
2025-06-02,200.27999877929688,202.1300048828125,200.1199951171875,201.6999969482422,35423300,457.1400146484375,462.1099853515625,456.8900146484375,461.9700012207031,16626500
2025-06-03,201.35000610351562,203.77000427246094,200.9600067138672,203.27000427246094,46381600,461.4700012207031,464.1400146484375,460.8599853515625,462.9700012207031,15743800
2025-06-04,202.91000366210938,206.24000549316406,202.10000610351562,202.82000732421875,43604000,464.0,465.69000244140625,463.0199890136719,463.8699951171875,14162700
2025-06-05,203.5,204.75,200.14999389648438,200.6300048828125,55126100,464.9599914550781,469.6499938964844,464.0299987792969,467.67999267578125,20131700
2025-06-06,203.0,205.6999969482422,202.0500030517578,203.9199981689453,46607700,470.0899963378906,473.3399963378906,468.7799987792969,470.3800048828125,15285600
2025-06-09,204.38999938964844,206.0,200.02000427246094,201.4499969482422,72862600,469.70001220703125,473.42999267578125,468.6199951171875,472.75,16469900
2025-06-10,200.60000610351562,204.35000610351562,200.57000732421875,202.6699981689453,54672600,471.19000244140625,472.79998779296875,466.9599914550781,470.9200134277344,15375900
2025-06-11,203.5,204.5,198.41000366210938,198.77999877929688,60989900,470.0199890136719,475.4700012207031,469.6600036621094,472.6199951171875,16399200
2025-06-12,199.0800018310547,199.67999267578125,197.36000061035156,199.1999969482422,43904600,475.0199890136719,480.4200134277344,473.5199890136719,478.8699951171875,18950600
2025-06-13,199.72999572753906,200.3699951171875,195.6999969482422,196.4499969482422,51447300,476.4100036621094,479.17999267578125,472.760009765625,474.9599914550781,16814500
2025-06-16,197.3000030517578,198.69000244140625,196.55999755859375,198.4199981689453,42886800,475.2099914550781,480.69000244140625,475.0,479.1400146484375,15580000
