Ticker,AMP,AMP,AMP,AMP,AMP,AMN,AMN,AMN,AMN,AMN
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,
2025-05-19,518.760009765625,524.5999755859375,517.8400268554688,522.239990234375,338000,22.280000686645508,22.559999465942383,22.049999237060547,22.420000076293945,626300
2025-05-20,517.8699951171875,522.3699951171875,516.4600219726562,518.8900146484375,422800,22.540000915527344,23.280000686645508,22.34000015258789,22.940000534057617,688200
2025-05-21,513.8699951171875,518.4000244140625,510.0400085449219,511.1199951171875,846600,22.530000686645508,22.729999542236328,22.020000457763672,22.110000610351562,466500
2025-05-22,510.7900085449219,513.3300170898438,506.8500061035156,508.2099914550781,487000,21.760000228881836,22.110000610351562,21.520000457763672,21.670000076293945,416700
2025-05-23,499.6400146484375,507.7799987792969,499.6400146484375,504.4599914550781,379400,21.219999313354492,21.469999313354492,20.549999237060547,20.770000457763672,592300
2025-05-27,512.8800048828125,517.9600219726562,508.42999267578125,517.489990234375,392800,21.200000762939453,21.579999923706055,20.760000228881836,21.479999542236328,556600
2025-05-28,517.8699951171875,518.1699829101562,509.57000732421875,510.1000061035156,409800,21.40999984741211,21.6200008392334,21.0,21.149999618530273,453900
2025-05-29,512.6799926757812,513.760009765625,507.8399963378906,509.9200134277344,438300,21.329999923706055,21.389999389648438,20.889999389648438,21.09000015258789,301100
2025-05-30,508.25,510.57000732421875,505.0299987792969,509.239990234375,933000,20.920000076293945,21.3799991607666,20.610000610351562,21.110000610351562,869000
2025-06-02,505.0199890136719,510.8999938964844,500.7200012207031,510.1300048828125,495200,21.040000915527344,21.09000015258789,20.190000534057617,20.299999237060547,751700
2025-06-03,508.9700012207031,514.4400024414062,503.82000732421875,513.239990234375,404500,20.3700008392334,20.600000381469727,19.969999313354492,20.440000534057617,984800
2025-06-04,513.969970703125,514.4199829101562,505.9800109863281,507.5199890136719,640900,20.450000762939453,20.739999771118164,20.020000457763672,20.049999237060547,594500
2025-06-05,509.0799865722656,511.5199890136719,503.3699951171875,508.3900146484375,531300,20.059999465942383,20.489999771118164,19.950000762939453,20.079999923706055,646400
2025-06-06,516.0800170898438,519.5399780273438,513.1699829101562,518.6300048828125,326100,20.34000015258789,21.360000610351562,20.34000015258789,21.100000381469727,633400
2025-06-09,521.27001953125,521.530029296875,513.010009765625,518.0900268554688,402200,21.450000762939453,21.649999618530273,20.799999237060547,21.3700008392334,759000
2025-06-10,517.1900024414062,519.47998046875,513.260009765625,516.6699829101562,455700,21.6200008392334,22.3799991607666,21.290000915527344,22.020000457763672,764600
2025-06-11,515.2999877929688,519.25,513.510009765625,515.6500244140625,335800,22.049999237060547,22.3799991607666,21.739999771118164,22.049999237060547,561900
2025-06-12,509.7200012207031,516.8699951171875,507.04998779296875,515.5499877929688,350300,21.850000381469727,21.920000076293945,21.510000228881836,21.6200008392334,355600
2025-06-13,508.3299865722656,510.8800048828125,500.0799865722656,501.67999267578125,393300,21.219999313354492,21.68000030517578,21.059999465942383,21.579999923706055,413800
2025-06-16,507.55999755859375,517.1300048828125,506.3800048828125,512.9099731445312,359400,21.739999771118164,21.940000534057617,21.219999313354492,21.90999984741211,473100
