Ticker,AA,AA,AA,AA,AA,AACB,AACB,AACB,AACB,AACB
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,
2025-05-19,28.532650950892112,29.628911092364064,28.532650950892112,29.309999465942383,6323900,10.029999732971191,10.029999732971191,10.010000228881836,10.010000228881836,700
2025-05-20,29.25,29.450000762939453,28.479999542236328,28.790000915527344,4362800,10.020000457763672,10.029999732971191,10.010000228881836,10.029999732971191,3900
2025-05-21,28.479999542236328,29.420000076293945,28.239999771118164,28.270000457763672,6272400,10.029999732971191,10.029999732971191,10.029999732971191,10.029999732971191,1500
2025-05-22,28.059999465942383,28.354999542236328,27.530000686645508,27.979999542236328,4815200,10.029999732971191,10.039999961853027,10.029999732971191,10.039999961853027,12800
2025-05-23,27.329999923706055,28.809999465942383,27.260000228881836,28.06999969482422,5297600,10.039999961853027,10.0600004196167,10.039999961853027,10.039999961853027,31100
2025-05-27,28.25,28.5,28.0,28.25,4742300,10.045000076293945,10.050000190734863,10.045000076293945,10.050000190734863,600
2025-05-28,28.260000228881836,28.280000686645508,27.607999801635742,27.8799991607666,4859000,10.050000190734863,10.050000190734863,10.050000190734863,10.050000190734863,30800
2025-05-29,28.43000030517578,28.43000030517578,27.415000915527344,27.6299991607666,3182100,10.050000190734863,10.050000190734863,10.050000190734863,10.050000190734863,0
2025-05-30,27.309999465942383,27.547000885009766,26.540000915527344,26.770000457763672,5724400,10.055000305175781,10.079999923706055,10.050000190734863,10.074999809265137,135600
2025-06-02,26.149999618530273,26.969999313354492,25.829999923706055,26.600000381469727,11089100,10.09000015258789,10.09000015258789,10.09000015258789,10.09000015258789,700
2025-06-03,26.639999389648438,27.885000228881836,25.940000534057617,27.65999984741211,9010200,10.09000015258789,10.09000015258789,10.09000015258789,10.09000015258789,4300
2025-06-04,27.90999984741211,27.920000076293945,27.309999465942383,27.3700008392334,4693700,10.09000015258789,10.109999656677246,10.09000015258789,10.100000381469727,366600
2025-06-05,27.799999237060547,28.40999984741211,27.65999984741211,27.8700008392334,5945700,10.109999656677246,10.119999885559082,10.109999656677246,10.109999656677246,30500
2025-06-06,28.200000762939453,28.469999313354492,27.780000686645508,28.010000228881836,3699500,10.100000381469727,10.109999656677246,10.100000381469727,10.109999656677246,11700
2025-06-09,28.440000534057617,29.020000457763672,28.219999313354492,28.559999465942383,6632800,10.109999656677246,10.119999885559082,10.104999542236328,10.109999656677246,699000
2025-06-10,28.690000534057617,29.420000076293945,28.475000381469727,28.760000228881836,5709500,10.109999656677246,10.109999656677246,10.109999656677246,10.109999656677246,0
2025-06-11,29.299999237060547,30.020000457763672,28.58799934387207,28.739999771118164,8174600,10.109999656677246,10.109999656677246,10.109999656677246,10.109999656677246,700
2025-06-12,28.020000457763672,28.89299964904785,27.979999542236328,28.860000610351562,4319700,10.119999885559082,10.130000114440918,10.119999885559082,10.130000114440918,1103500
2025-06-13,28.06999969482422,28.639999389648438,28.0,28.350000381469727,3202500,10.130000114440918,10.130000114440918,10.130000114440918,10.130000114440918,5000
2025-06-16,28.729999542236328,29.149999618530273,28.530000686645508,29.010000228881836,5196200,10.130000114440918,10.140000343322754,10.109999656677246,10.140000343322754,14900
