Ticker,AAPL,AAPL,AAPL,AAPL,AAPL,AA,AA,AA,AA,AA
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,
2025-05-19,207.91000366210938,209.47999572753906,204.25999450683594,208.77999877929688,46140500,28.532650950892112,29.628911092364064,28.532650950892112,29.309999465942383,6323900
2025-05-20,207.6699981689453,208.47000122070312,205.02999877929688,206.86000061035156,42496600,29.25,29.450000762939453,28.479999542236328,28.790000915527344,4362800
2025-05-21,205.1699981689453,207.0399932861328,200.7100067138672,202.08999633789062,59211800,28.479999542236328,29.420000076293945,28.239999771118164,28.270000457763672,6272400
2025-05-22,200.7100067138672,202.75,199.6999969482422,201.36000061035156,46742400,28.059999465942383,28.354999542236328,27.530000686645508,27.979999542236328,4815200
2025-05-23,193.6699981689453,197.6999969482422,193.4600067138672,195.27000427246094,78432900,27.329999923706055,28.809999465942383,27.260000228881836,28.06999969482422,5297600
2025-05-27,198.3000030517578,200.74000549316406,197.42999267578125,200.2100067138672,56288500,28.25,28.5,28.0,28.25,4742300
2025-05-28,200.58999633789062,202.72999572753906,199.89999389648438,200.4199981689453,45339700,28.260000228881836,28.280000686645508,27.607999801635742,27.8799991607666,4859000
2025-05-29,203.5800018310547,203.80999755859375,198.50999450683594,199.9499969482422,51396800,28.43000030517578,28.43000030517578,27.415000915527344,27.6299991607666,3182100
2025-05-30,199.3699951171875,201.9600067138672,196.77999877929688,200.85000610351562,70819900,27.309999465942383,27.547000885009766,26.540000915527344,26.770000457763672,5724400
2025-06-02,200.27999877929688,202.1300048828125,200.1199951171875,201.6999969482422,35423300,26.149999618530273,26.969999313354492,25.829999923706055,26.600000381469727,11089100
2025-06-03,201.35000610351562,203.77000427246094,200.9600067138672,203.27000427246094,46381600,26.639999389648438,27.885000228881836,25.940000534057617,27.65999984741211,9010200
2025-06-04,202.91000366210938,206.24000549316406,202.10000610351562,202.82000732421875,43604000,27.90999984741211,27.920000076293945,27.309999465942383,27.3700008392334,4693700
2025-06-05,203.5,204.75,200.14999389648438,200.6300048828125,55126100,27.799999237060547,28.40999984741211,27.65999984741211,27.8700008392334,5945700
2025-06-06,203.0,205.6999969482422,202.0500030517578,203.9199981689453,46607700,28.200000762939453,28.469999313354492,27.780000686645508,28.010000228881836,3699500
2025-06-09,204.38999938964844,206.0,200.02000427246094,201.4499969482422,72862600,28.440000534057617,29.020000457763672,28.219999313354492,28.559999465942383,6632800
2025-06-10,200.60000610351562,204.35000610351562,200.57000732421875,202.6699981689453,54672600,28.690000534057617,29.420000076293945,28.475000381469727,28.760000228881836,5709500
2025-06-11,203.5,204.5,198.41000366210938,198.77999877929688,60989900,29.299999237060547,30.020000457763672,28.58799934387207,28.739999771118164,8174600
2025-06-12,199.0800018310547,199.67999267578125,197.36000061035156,199.1999969482422,43904600,28.020000457763672,28.89299964904785,27.979999542236328,28.860000610351562,4319700
2025-06-13,199.72999572753906,200.3699951171875,195.6999969482422,196.4499969482422,51447300,28.06999969482422,28.639999389648438,28.0,28.350000381469727,3202500
2025-06-16,197.3000030517578,198.69000244140625,196.55999755859375,198.4199981689453,42886800,28.729999542236328,29.149999618530273,28.530000686645508,29.010000228881836,5196200
