Ticker,MSFT,MSFT,MSFT,MSFT,MSFT,TSLA,TSLA,TSLA,TSLA,TSLA
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,
2025-05-19,450.8800048828125,459.5899963378906,450.79998779296875,458.8699951171875,21336500,336.29998779296875,343.0,333.3699951171875,342.0899963378906,88869900
2025-05-20,455.5899963378906,458.3399963378906,454.32000732421875,458.1700134277344,15441800,347.8699951171875,354.989990234375,341.6300048828125,343.82000732421875,131715500
2025-05-21,454.57000732421875,457.7799987792969,451.80999755859375,452.57000732421875,19216900,344.42999267578125,347.3500061035156,332.20001220703125,334.6199951171875,102354800
2025-05-22,454.95001220703125,460.25,453.8999938964844,454.8599853515625,18025600,331.8999938964844,347.2699890136719,331.3900146484375,341.0400085449219,97113400
2025-05-23,449.9800109863281,453.69000244140625,448.9100036621094,450.17999267578125,16883500,337.9200134277344,343.17999267578125,333.2099914550781,339.3399963378906,84654800
2025-05-27,456.4800109863281,460.95001220703125,456.1199951171875,460.69000244140625,20974300,347.3500061035156,363.7900085449219,347.32000732421875,362.8900146484375,120146400
2025-05-28,461.2200012207031,462.5199890136719,456.92999267578125,457.3599853515625,17086300,364.8399963378906,365.0,355.9100036621094,356.8999938964844,91404300
2025-05-29,461.54998779296875,461.7200012207031,455.30999755859375,458.67999267578125,13974800,365.2900085449219,367.7099914550781,356.0,358.42999267578125,88545700
2025-05-30,459.7200012207031,461.67999267578125,455.5400085449219,460.3599853515625,34770500,355.5199890136719,363.67999267578125,345.2900085449219,346.4599914550781,123474900
2025-06-02,457.1400146484375,462.1099853515625,456.8900146484375,461.9700012207031,16626500,343.5,348.0199890136719,333.3299865722656,342.69000244140625,81873800
2025-06-03,461.4700012207031,464.1400146484375,460.8599853515625,462.9700012207031,15743800,346.6000061035156,355.3999938964844,343.0400085449219,344.2699890136719,99324500
2025-06-04,464.0,465.69000244140625,463.0199890136719,463.8699951171875,14162700,345.1000061035156,345.6000061035156,327.3299865722656,332.04998779296875,98912100
2025-06-05,464.9599914550781,469.6499938964844,464.0299987792969,467.67999267578125,20131700,322.489990234375,324.54998779296875,273.2099914550781,284.70001220703125,287499800
2025-06-06,470.0899963378906,473.3399963378906,468.7799987792969,470.3800048828125,15285600,298.8299865722656,305.5,291.1400146484375,295.1400146484375,164747700
2025-06-09,469.70001220703125,473.42999267578125,468.6199951171875,472.75,16469900,285.9599914550781,309.8299865722656,281.8500061035156,308.5799865722656,140908900
2025-06-10,471.19000244140625,472.79998779296875,466.9599914550781,470.9200134277344,15375900,314.94000244140625,327.8299865722656,310.6700134277344,326.0899963378906,151256500
2025-06-11,470.0199890136719,475.4700012207031,469.6600036621094,472.6199951171875,16399200,334.3999938964844,335.5,322.5,326.42999267578125,122611400
2025-06-12,475.0199890136719,480.4200134277344,473.5199890136719,478.8699951171875,18950600,323.0799865722656,332.55999755859375,316.8599853515625,319.1099853515625,105127500
2025-06-13,476.4100036621094,479.17999267578125,472.760009765625,474.9599914550781,16814500,313.9700012207031,332.989990234375,313.29998779296875,325.30999755859375,128964300
2025-06-16,475.2099914550781,480.69000244140625,475.0,479.1400146484375,15580000,331.2900085449219,332.04998779296875,326.4100036621094,329.1300048828125,82965200
