Ticker,ANF,ANF,ANF,ANF,ANF,AN,AN,AN,AN,AN
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,
2025-05-19,77.02999877929688,79.8499984741211,76.6500015258789,78.05999755859375,1537200,186.9199981689453,189.58999633789062,185.8800048828125,188.39999389648438,335500
2025-05-20,78.80999755859375,80.05999755859375,76.4800033569336,76.63999938964844,2354900,187.6699981689453,188.3000030517578,186.07000732421875,187.3000030517578,257900
2025-05-21,75.0199966430664,75.63999938964844,72.52999877929688,72.61000061035156,2193400,183.74000549316406,184.8699951171875,180.36000061035156,181.89999389648438,417800
2025-05-22,73.72000122070312,78.33000183105469,73.33000183105469,76.76000213623047,2835700,181.72999572753906,182.02000427246094,178.8699951171875,180.58999633789062,450600
2025-05-23,74.06999969482422,75.5,73.08000183105469,73.16999816894531,1891000,177.02000427246094,182.82000732421875,176.25,182.2100067138672,423300
2025-05-27,74.5,77.16999816894531,73.80000305175781,77.1500015258789,4373600,184.16000366210938,186.6999969482422,182.02999877929688,185.4499969482422,433000
2025-05-28,103.87999725341797,104.98999786376953,87.12000274658203,88.47000122070312,20394800,186.16000366210938,186.16000366210938,182.30999755859375,182.82000732421875,364100
2025-05-29,88.4800033569336,88.62999725341797,81.18000030517578,83.04000091552734,7586900,183.38999938964844,184.11000061035156,181.16000366210938,182.60000610351562,327400
2025-05-30,83.0199966430664,83.0199966430664,78.36000061035156,78.48999786376953,5053000,181.32000732421875,184.2100067138672,180.4499969482422,183.85000610351562,453300
2025-06-02,78.0,78.94999694824219,76.02999877929688,78.33999633789062,3083400,183.47999572753906,184.1300048828125,178.1699981689453,181.75999450683594,447200
2025-06-03,78.58000183105469,79.27999877929688,76.58999633789062,76.8499984741211,2458700,181.75999450683594,185.9600067138672,181.0399932861328,185.33999633789062,407400
2025-06-04,76.69000244140625,77.72000122070312,75.44000244140625,76.02999877929688,2825600,184.5399932861328,185.30999755859375,182.19000244140625,183.27000427246094,264000
2025-06-05,76.12999725341797,80.19999694824219,76.12999725341797,79.5199966430664,2537200,182.49000549316406,186.47000122070312,181.8000030517578,185.86000061035156,338000
2025-06-06,80.55999755859375,83.20999908447266,80.05999755859375,82.98999786376953,2320600,187.7100067138672,188.30999755859375,185.75,187.0800018310547,250100
2025-06-09,83.41000366210938,84.01000213623047,80.19999694824219,81.9800033569336,2796200,188.0,190.0,185.49000549316406,189.25,409000
2025-06-10,82.33999633789062,82.44999694824219,79.9000015258789,81.08999633789062,2637600,189.9199981689453,193.91000366210938,189.75999450683594,193.1199951171875,392600
2025-06-11,82.18000030517578,82.58000183105469,78.81999969482422,79.01000213623047,1929200,194.0800018310547,196.0399932861328,193.3699951171875,194.27999877929688,330700
2025-06-12,77.94999694824219,78.7699966430664,77.20999908447266,78.75,1710200,192.5,193.9199981689453,190.86000061035156,191.9600067138672,364700
2025-06-13,77.51000213623047,78.87999725341797,74.16000366210938,74.66000366210938,2076500,189.52000427246094,191.4199981689453,188.16000366210938,189.6199951171875,267200
2025-06-16,75.5,76.76000213623047,73.88999938964844,75.0,2327600,192.74000549316406,193.8800048828125,191.02000427246094,193.0399932861328,395800
