Ticker,IBM,IBM,IBM,IBM,IBM,KO,KO,KO,KO,KO,MSFT,MSFT,MSFT,MSFT,MSFT,TSLA,TSLA,TSLA,TSLA,TSLA
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,,,,,,
2025-05-19,265.45001220703125,269.1400146484375,265.0799865722656,268.4100036621094,3198600,71.52148030856249,71.66049132841037,71.13423424248163,71.42218780517578,13282800,450.8800048828125,459.5899963378906,450.79998779296875,458.8699951171875,21336500,336.29998779296875,343.0,333.3699951171875,342.0899963378906,88869900
2025-05-20,267.3999938964844,269.2799987792969,265.6199951171875,266.95001220703125,2437900,71.29310769243372,71.62077219322597,70.92571709999108,71.18388366699219,12137800,455.5899963378906,458.3399963378906,454.32000732421875,458.1700134277344,15441800,347.8699951171875,354.989990234375,341.6300048828125,343.82000732421875,131715500
2025-05-21,264.9700012207031,265.6499938964844,260.4100036621094,260.8699951171875,3753900,71.1838840595006,71.57113012437136,71.0746600334568,71.3427505493164,12094400,454.57000732421875,457.7799987792969,451.80999755859375,452.57000732421875,19216900,344.42999267578125,347.3500061035156,332.20001220703125,334.6199951171875,102354800
2025-05-22,260.7699890136719,261.2699890136719,257.9100036621094,258.3699951171875,3091300,71.33281907458824,71.48176161706982,70.45903444117937,70.63776397705078,11101800,454.95001220703125,460.25,453.8999938964844,454.8599853515625,18025600,331.8999938964844,347.2699890136719,331.3900146484375,341.0400085449219,97113400
2025-05-23,258.5799865722656,259.8699951171875,255.7899932861328,258.6300048828125,2722600,71.0349412946497,71.4718373974566,70.19094365784468,71.26331329345703,12822100,449.9800109863281,453.69000244140625,448.9100036621094,450.17999267578125,16883500,337.9200134277344,343.17999267578125,333.2099914550781,339.3399963378906,84654800
2025-05-27,261.0,263.7900085449219,259.6300048828125,263.2300109863281,3284200,71.23352824783808,71.71014287988916,71.0547987077605,71.27324676513672,10666100,456.4800109863281,460.95001220703125,456.1199951171875,460.69000244140625,20974300,347.3500061035156,363.7900085449219,347.32000732421875,362.8900146484375,120146400
2025-05-28,263.1600036621094,265.0,259.94000244140625,260.239990234375,2318400,71.19381001885002,71.39240260614744,70.54840494284807,70.64769744873047,8710900,461.2200012207031,462.5199890136719,456.92999267578125,457.3599853515625,17086300,364.8399963378906,365.0,355.9100036621094,356.8999938964844,91404300
2025-05-29,260.75,261.1300048828125,256.7699890136719,258.69000244140625,2295000,70.49875196591115,71.15409611339906,69.96256336583893,70.98529052734375,10291100,461.54998779296875,461.7200012207031,455.30999755859375,458.67999267578125,13974800,365.2900085449219,367.7099914550781,356.0,358.42999267578125,88545700
2025-05-30,258.75,260.1199951171875,257.1000061035156,259.05999755859375,9668900,71.10444957380456,71.95837876680815,71.10444957380456,71.59098815917969,28019500,459.7200012207031,461.67999267578125,455.5400085449219,460.3599853515625,34770500,355.5199890136719,363.67999267578125,345.2900085449219,346.4599914550781,123474900
2025-06-02,257.8500061035156,263.9800109863281,257.2200012207031,263.8999938964844,2831900,71.5214785820992,71.53141010485787,70.85621049238155,71.49169158935547,10202700,457.1400146484375,462.1099853515625,456.8900146484375,461.9700012207031,16626500,343.5,348.0199890136719,333.3299865722656,342.69000244140625,81873800
2025-06-03,263.3500061035156,265.55999755859375,262.5799865722656,265.20001220703125,2494700,71.20374350558913,71.27324901917675,69.97249973252315,70.65763092041016,20139800,461.4700012207031,464.1400146484375,460.8599853515625,462.9700012207031,15743800,346.6000061035156,355.3999938964844,343.0400085449219,344.2699890136719,99324500
2025-06-04,264.8999938964844,267.0,264.7900085449219,265.5199890136719,2588600,70.75691824880333,71.34274930964742,70.18101113522177,70.86614227294922,13565900,464.0,465.69000244140625,463.0199890136719,463.8699951171875,14162700,345.1000061035156,345.6000061035156,327.3299865722656,332.04998779296875,98912100
2025-06-05,265.20001220703125,267.510009765625,265.1000061035156,266.8599853515625,2658400,70.87606884171126,70.95550587594319,70.32995627631495,70.40939331054688,13531400,464.9599914550781,469.6499938964844,464.0299987792969,467.67999267578125,20131700,322.489990234375,324.54998779296875,273.2099914550781,284.70001220703125,287499800
2025-06-06,267.989990234375,270.1700134277344,267.5299987792969,268.8699951171875,2495200,70.57819243366227,70.97537003551913,70.43918140934227,70.84628295898438,9524000,470.0899963378906,473.3399963378906,468.7799987792969,470.3800048828125,15285600,298.8299865722656,305.5,291.1400146484375,295.1400146484375,164747700
2025-06-09,268.1000061035156,273.4700012207031,266.7099914550781,272.0799865722656,4331500,70.84628023652265,71.3228948555422,70.58811366890654,71.26331329345703,12281300,469.70001220703125,473.42999267578125,468.6199951171875,472.75,16469900,285.9599914550781,309.8299865722656,281.8500061035156,308.5799865722656,140908900
2025-06-10,273.19000244140625,277.4700012207031,272.55999755859375,276.239990234375,5163500,71.39239810359122,72.17682172899586,71.25338708901643,71.83921813964844,12265000,471.19000244140625,472.79998779296875,466.9599914550781,470.9200134277344,15375900,314.94000244140625,327.8299865722656,310.6700134277344,326.0899963378906,151256500
2025-06-11,276.70001220703125,281.75,275.1099853515625,281.5199890136719,4656000,71.75978037073057,71.84914892234093,71.25338635522264,71.56119537353516,12718500,470.0199890136719,475.4700012207031,469.6600036621094,472.6199951171875,16399200,334.3999938964844,335.5,322.5,326.42999267578125,122611400
2025-06-12,281.5299987792969,283.05999755859375,279.8299865722656,281.0299987792969,3418000,71.73992725038366,71.88886979092345,71.09451462506614,71.72999572753906,12806900,475.0199890136719,480.4200134277344,473.5199890136719,478.8699951171875,18950600,323.0799865722656,332.55999755859375,316.8599853515625,319.1099853515625,105127500
2025-06-13,278.2099914550781,279.8399963378906,275.8299865722656,277.2200012207031,3243800,71.7699966430664,71.87999725341797,70.7300033569336,71.0199966430664,17467200,476.4100036621094,479.17999267578125,472.760009765625,474.9599914550781,16814500,313.9700012207031,332.989990234375,313.29998779296875,325.30999755859375,128964300
2025-06-16,279.30999755859375,284.5,278.6700134277344,281.8299865722656,3682300,71.19999694824219,71.62000274658203,70.23999786376953,70.5199966430664,15039800,475.2099914550781,480.69000244140625,475.0,479.1400146484375,15580000,331.2900085449219,332.04998779296875,326.4100036621094,329.1300048828125,82965200
