Ticker,CDP,CDP,CDP,CDP,CDP,CDT,CDT,CDT,CDT,CDT
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,
2000-01-03,2.403690775886911,2.403690775886911,2.3261523637615267,2.3649215698242188,10900,,,,,
2000-01-04,2.345536792755127,2.4230751991271973,2.3261521911621093,2.4230751991271973,12100,,,,,
2000-01-05,2.4230751991271973,2.4230751991271973,2.3649213943481446,2.4230751991271973,5700,,,,,
2000-01-06,2.4036905975341796,2.461844402313232,2.384305995941162,2.4230751991271973,23400,,,,,
2000-01-07,2.4618453979492188,2.4618453979492188,2.4424607885165477,2.4618453979492188,4300,,,,,
2000-01-10,2.4230761790838766,2.4618453979492188,2.4036915696512056,2.4618453979492188,34900,,,,,
2000-01-11,2.48122900390625,2.48122900390625,2.4036905975341796,2.4230751991271973,13100,,,,,
2000-01-12,2.442459800720215,2.461844402313232,2.4230751991271973,2.4230751991271973,8500,,,,,
2000-01-13,2.442459800720215,2.461844402313232,2.4230751991271973,2.4230751991271973,27300,,,,,
2000-01-14,2.4424607885165477,2.4618453979492188,2.4230761790838766,2.4618453979492188,16100,,,,,
2000-01-18,2.4618453979492188,2.48123000738189,2.4230761790838766,2.4618453979492188,19700,,,,,
2000-01-19,2.4424595832824707,2.461844183149792,2.4424595832824707,2.4424595832824707,8900,,,,,
2000-01-20,2.461844183149792,2.461844183149792,2.4424595832824707,2.4424595832824707,4200,,,,,
2000-01-21,2.4618453979492188,2.4618453979492188,2.4424607885165477,2.4618453979492188,20200,,,,,
2000-01-24,2.4424595832824707,2.4424595832824707,2.4230749834151495,2.4424595832824707,59500,,,,,
2000-01-25,2.461844183149792,2.461844183149792,2.4424595832824707,2.4424595832824707,55100,,,,,
2000-01-26,2.461844183149792,2.481228783017113,2.4424595832824707,2.4424595832824707,22000,,,,,
2000-01-27,2.4424607885165477,2.48123000738189,2.4230761790838766,2.4618453979492188,71400,,,,,
2000-01-28,2.481228140897529,2.500612735748291,2.461843546046767,2.500612735748291,28200,,,,,
2000-01-31,2.48123000738189,2.48123000738189,2.4424607885165477,2.4618453979492188,5800,,,,,
2000-02-01,2.4618453979492188,2.4618453979492188,2.4230761790838766,2.4618453979492188,14800,,,,,
2000-02-02,2.4618453979492188,2.48123000738189,2.4424607885165477,2.4618453979492188,7800,,,,,
2000-02-03,2.4424607885165477,2.4618453979492188,2.4424607885165477,2.4618453979492188,5400,,,,,
2000-02-04,2.4424595832824707,2.461844183149792,2.4424595832824707,2.4424595832824707,9500,,,,,
2000-02-07,2.4230749834151495,2.4424595832824707,2.4036903835478283,2.4424595832824707,39000,,,,,
2000-02-08,2.4424595371369393,2.4424595371369393,2.4036903381347656,2.4036903381347656,29700,,,,,
2000-02-09,2.4036905975341796,2.442459800720215,2.4036905975341796,2.4230751991271973,25800,,,,,
2000-02-10,2.4036905975341796,2.461844402313232,2.4036905975341796,2.4230751991271973,24900,,,,,
2000-02-11,2.4036903381347656,2.4424595371369393,2.4036903381347656,2.4036903381347656,25400,,,,,
2000-02-14,2.4036903381347656,2.4618441366380264,2.3455365396315053,2.4036903381347656,25900,,,,,
2000-02-15,2.423075493425131,2.481229305267334,2.3843062855303288,2.481229305267334,37600,,,,,
2000-02-16,2.4424595832824707,2.4424595832824707,2.4036903835478283,2.4424595832824707,15800,,,,,
2000-02-17,2.4424607885165477,2.4618453979492188,2.4424607885165477,2.4618453979492188,7100,,,,,
2000-02-18,2.4424607885165477,2.4618453979492188,2.4036915696512056,2.4618453979492188,20400,,,,,
2000-02-22,2.461844701319933,2.500613909214735,2.442460097372532,2.481229305267334,46800,,,,,
2000-02-23,2.4618453979492188,2.48123000738189,2.4618453979492188,2.4618453979492188,20300,,,,,
