Ticker,ASC,ASC,ASC,ASC,ASC,ASH,ASH,ASH,ASH,ASH
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,
2025-05-19,10.029999732971191,10.229999542236328,9.979999542236328,10.149999618530273,646900,51.50676954361853,51.99277391291809,51.26872388465021,51.90351104736328,396100
2025-05-20,10.170000076293945,10.40999984741211,10.130000114440918,10.399999618530273,797000,51.89358787439326,51.89358787439326,50.673612918299774,50.96125030517578,408900
2025-05-21,10.350000381469727,10.420000076293945,10.140000343322754,10.149999618530273,554100,50.50499694247422,50.5446718479937,49.06681756166209,49.11640930175781,434100
2025-05-22,10.0600004196167,10.100000381469727,9.59000015258789,9.59000015258789,591000,49.017221947267046,49.880134114486445,48.630401078185976,49.632171630859375,424800
2025-05-23,9.5,9.800000190734863,9.470000267028809,9.770000457763672,415600,48.491542667179715,49.20567583040367,48.412196639936624,48.89820098876953,507300
2025-05-27,9.800000190734863,9.960000038146973,9.710000038146973,9.920000076293945,494700,49.830544780145374,50.395898967420045,49.28502426294402,50.356224060058594,514400
2025-05-28,9.800000190734863,9.890000343322754,9.470000267028809,9.470000267028809,845100,50.38597789323429,50.574431809693635,49.30486127085748,49.374290466308594,472700
2025-05-29,9.430000305175781,9.630000114440918,9.420000076293945,9.600000381469727,400600,49.95948054179197,50.54467215918171,49.36437208976493,50.50499725341797,604200
2025-05-30,9.539999961853027,9.649999618530273,9.449999809265137,9.609999656677246,456500,50.220001220703125,50.220001220703125,49.20000076293945,49.5099983215332,592500
2025-06-02,9.600000381469727,9.819999694824219,9.550000190734863,9.65999984741211,391700,49.400001525878906,49.810001373291016,48.16999816894531,48.349998474121094,471400
2025-06-03,9.600000381469727,9.710000038146973,9.180000305175781,9.609999656677246,483400,48.209999084472656,49.97999954223633,47.81999969482422,49.75,477100
2025-06-04,9.609999656677246,9.789999961853027,9.520000457763672,9.699999809265137,328600,49.9900016784668,49.9900016784668,49.63999938964844,49.81999969482422,557600
2025-06-05,9.699999809265137,9.75,9.510000228881836,9.670000076293945,313200,49.970001220703125,50.130001068115234,49.36000061035156,49.560001373291016,469200
2025-06-06,9.75,9.819999694824219,9.449999809265137,9.59000015258789,504500,50.310001373291016,50.619998931884766,49.84000015258789,50.130001068115234,491300
2025-06-09,9.579999923706055,9.710000038146973,9.460000038146973,9.59000015258789,451000,50.72999954223633,52.209999084472656,50.63999938964844,51.81999969482422,710100
2025-06-10,9.6899995803833,9.75,9.5600004196167,9.630000114440918,361600,52.15999984741211,54.18000030517578,51.689998626708984,53.02000045776367,625600
2025-06-11,9.640000343322754,9.880000114440918,9.569999694824219,9.819999694824219,857200,53.15999984741211,53.619998931884766,52.2599983215332,53.279998779296875,601900
2025-06-12,9.8100004196167,10.050000190734863,9.649999618530273,9.899999618530273,619100,52.4900016784668,52.560001373291016,51.439998626708984,51.66999816894531,442800
2025-06-13,10.100000381469727,10.25,9.789999961853027,10.1899995803833,856900,50.5,51.310001373291016,49.380001068115234,49.59000015258789,460100
2025-06-16,10.140000343322754,10.25,9.850000381469727,10.0,637200,50.220001220703125,50.45000076293945,49.68000030517578,50.20000076293945,463800
